Unnamed: 0,Player,Debut,Age,G,MP,FG%,3P%,FT%,PER GAME MP,PER GAME PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,PER GAME TOV,Season,All-League Team,Rookie of the Year,Defensive Award Winner,MVP Winner,Finals MVP Winner,success,Success_Class,high_success
89,victor wembanyama,202310250SAS,20,52,1481,0.467,0.318,0.813,28.5,20.7,10.1,3.3,1.3,3.3,3.4,2023-2024,0,1,1,0,0,2,High Success,1
94,paolo banchero,202210190DET,20,72,2430,0.427,0.298,0.738,33.8,20.0,6.9,3.7,0.8,0.5,2.8,2022-2023,0,1,0,0,0,1,Low Success,0
182,scottie barnes,202110200TOR,20,74,2617,0.492,0.301,0.735,35.4,15.3,7.5,3.5,1.1,0.7,1.8,2021-2022,0,1,0,0,0,1,Low Success,0
229,herbert jones,202110200NOP,23,78,2335,0.476,0.337,0.84,29.9,9.5,3.8,2.1,1.7,0.8,1.3,2021-2022,0,0,1,0,0,1,Low Success,0
248,evan mobley,202110200MEM,20,69,2331,0.508,0.25,0.663,33.8,15.0,8.3,2.5,0.8,1.7,1.9,2021-2022,0,0,1,0,0,1,Low Success,0
280,jalen suggs,202110200SAS,20,48,1307,0.361,0.214,0.773,27.2,11.8,3.6,4.4,1.2,0.4,3.0,2021-2022,0,0,1,0,0,1,Low Success,0
308,lamelo ball,202012230CLE,19,51,1469,0.436,0.352,0.758,28.8,15.7,5.9,6.1,1.6,0.4,2.8,2020-2021,0,1,0,0,0,1,Low Success,0
323,anthony edwards,202012230MIN,19,72,2314,0.417,0.329,0.776,32.1,19.3,4.7,2.9,1.1,0.5,2.2,2020-2021,1,0,0,0,0,1,Low Success,0
333,tyrese haliburton,202012230DEN,20,58,1746,0.472,0.409,0.857,30.1,13.0,3.0,5.3,1.3,0.5,1.6,2020-2021,1,0,0,0,0,1,Low Success,0
358,jaden mcdaniels,202012270LAL,20,63,1511,0.447,0.364,0.6,24.0,6.8,3.7,1.1,0.6,1.0,0.7,2020-2021,0,0,1,0,0,1,Low Success,0
471,ja morant,201910230MIA,20,67,2074,0.477,0.335,0.776,31.0,17.8,3.9,7.3,0.9,0.3,3.3,2019-2020,1,1,0,0,0,2,High Success,1
501,matisse thybulle,201910230PHI,22,65,1287,0.423,0.357,0.61,19.8,4.7,1.6,1.2,1.4,0.7,0.8,2019-2020,0,0,1,0,0,1,Low Success,0
529,mikal bridges,201810170PHO,22,82,2417,0.43,0.335,0.805,29.5,8.3,3.2,2.1,1.6,0.5,0.9,2018-2019,0,0,1,0,0,1,Low Success,0
535,jalen brunson,201810170PHO,22,73,1591,0.467,0.348,0.725,21.8,9.3,2.3,3.2,0.5,0.1,1.2,2018-2019,1,0,0,0,0,1,Low Success,0
550,luka doncic,201810170PHO,19,72,2318,0.427,0.327,0.713,32.2,21.2,7.8,6.0,1.1,0.3,3.4,2018-2019,1,1,0,0,0,2,High Success,1
558,shai gilgeousalexander,201810170LAC,20,82,2174,0.476,0.367,0.8,26.5,10.8,2.8,3.3,1.2,0.5,1.7,2018-2019,1,0,0,0,0,1,Low Success,0
618,robert williams,201810220BOS,21,32,283,0.706,0.0,0.6,8.8,2.5,2.5,0.2,0.3,1.3,0.3,2018-2019,0,0,1,0,0,1,Low Success,0
619,trae young,201810170NYK,20,81,2503,0.418,0.324,0.829,30.9,19.1,3.7,8.1,0.9,0.2,3.8,2018-2019,1,0,0,0,0,1,Low Success,0
620,bam adebayo,201710180ORL,20,69,1368,0.512,0.0,0.721,19.8,6.9,5.5,1.5,0.5,0.6,1.0,2017-2018,0,0,1,0,0,1,Low Success,0
624,og anunoby,201710190TOR,20,74,1481,0.471,0.371,0.629,20.0,5.9,2.5,0.7,0.7,0.2,0.6,2017-2018,0,0,1,0,0,1,Low Success,0
636,dillon brooks,201710180MEM,22,82,2350,0.44,0.356,0.747,28.7,11.0,3.1,1.6,0.9,0.2,1.5,2017-2018,0,0,1,0,0,1,Low Success,0
639,alex caruso,201710190LAL,23,37,562,0.431,0.302,0.7,15.2,3.6,1.8,2.0,0.6,0.3,1.1,2017-2018,0,0,1,0,0,1,Low Success,0
655,deaaron fox,201710180SAC,20,73,2026,0.412,0.307,0.723,27.8,11.6,2.8,4.4,1.0,0.3,2.4,2017-2018,1,0,0,0,0,1,Low Success,0
694,donovan mitchell,201710180UTA,21,79,2638,0.437,0.34,0.805,33.4,20.5,3.7,3.7,1.5,0.3,2.7,2017-2018,1,0,0,0,0,1,Low Success,0
718,ben simmons,201710180WAS,21,81,2732,0.545,0.0,0.56,33.7,15.8,8.1,8.2,1.7,0.9,3.4,2017-2018,1,1,1,0,0,3,High Success,1
723,jayson tatum,201710170CLE,19,80,2443,0.475,0.434,0.826,30.5,13.9,5.0,1.6,1.0,0.7,1.4,2017-2018,1,0,0,0,0,1,Low Success,0
732,derrick white,201710180SAS,23,17,139,0.485,0.615,0.7,8.2,3.2,1.5,0.5,0.2,0.2,0.4,2017-2018,0,0,1,0,0,1,Low Success,0
749,malcolm brogdon,201610260MIL,24,75,1982,0.457,0.404,0.865,26.4,10.2,2.8,4.2,1.1,0.2,1.5,2016-2017,0,1,0,0,0,1,Low Success,0
750,jaylen brown,201610260BOS,20,78,1341,0.454,0.341,0.685,17.2,6.6,2.8,0.8,0.4,0.2,0.9,2016-2017,1,0,0,0,1,2,High Success,1
760,joel embiid,201610260PHI,22,31,786,0.466,0.367,0.783,25.4,20.2,7.8,2.1,0.9,2.5,3.8,2016-2017,1,0,1,1,0,3,High Success,1
793,dejounte murray,201610290SAS,20,38,322,0.431,0.391,0.7,8.5,3.4,1.1,1.3,0.2,0.2,1.0,2016-2017,0,0,1,0,0,1,Low Success,0
809,domantas sabonis,201610260PHI,20,81,1632,0.399,0.321,0.657,20.1,5.9,3.6,1.0,0.5,0.4,1.0,2016-2017,1,0,0,0,0,1,Low Success,0
813,pascal siakam,201610260TOR,22,55,859,0.502,0.143,0.688,15.6,4.2,3.4,0.3,0.5,0.8,0.6,2016-2017,1,0,0,0,0,1,Low Success,0
833,devin booker,201510280PHO,19,76,2108,0.423,0.343,0.84,27.7,13.8,2.5,2.6,0.6,0.3,2.1,2015-2016,1,0,0,0,0,1,Low Success,0
857,nikola jokic,201510280HOU,20,80,1733,0.512,0.333,0.811,21.7,10.0,7.0,2.4,1.0,0.6,1.3,2015-2016,1,0,0,1,1,3,High Success,1
873,larry nance,201511060BRK,23,63,1266,0.527,0.1,0.681,20.1,5.5,5.0,0.7,0.9,0.4,0.7,2015-2016,0,0,1,0,0,1,Low Success,0
892,karlanthony towns,201510280LAL,20,82,2627,0.542,0.341,0.811,32.0,18.3,10.5,2.0,0.7,1.7,2.2,2015-2016,1,1,0,0,0,2,High Success,1
966,julius randle,201410280LAL,20,1,14,0.333,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,2014-2015,1,0,0,0,0,1,Low Success,0
970,marcus smart,201410290BOS,20,67,1808,0.367,0.335,0.646,27.0,7.8,3.3,3.1,1.5,0.3,1.3,2014-2015,0,0,1,0,0,1,Low Success,0
980,andrew wiggins,201410290MEM,19,82,2969,0.437,0.31,0.76,36.2,16.9,4.6,2.1,1.0,0.6,2.2,2014-2015,0,1,0,0,0,1,Low Success,0
984,giannis antetokounmpo,201310300NYK,19,77,1897,0.414,0.347,0.683,24.6,6.8,4.4,1.9,0.8,0.8,1.6,2013-2014,1,0,1,1,1,4,High Success,1
996,michael carterwilliams,201310300PHI,22,70,2414,0.405,0.264,0.703,34.5,16.7,6.2,6.3,1.9,0.6,3.5,2013-2014,0,1,0,0,0,1,Low Success,0
999,robert covington,201401180HOU,23,7,34,0.429,0.364,0.0,4.9,2.3,0.7,0.0,0.3,0.0,0.1,2013-2014,0,0,1,0,0,1,Low Success,0
1012,rudy gobert,201310300UTA,21,45,434,0.486,0.0,0.492,9.6,2.3,3.4,0.2,0.2,0.9,0.7,2013-2014,1,0,1,0,0,2,High Success,1
1039,victor oladipo,201310290IND,21,80,2487,0.419,0.327,0.78,31.1,13.8,4.1,4.1,1.6,0.5,3.2,2013-2014,1,0,1,0,0,2,High Success,1
1047,andre roberson,201311010MIN,22,40,399,0.485,0.154,0.7,10.0,1.9,2.4,0.4,0.5,0.3,0.5,2013-2014,0,0,1,0,0,1,Low Success,0
1067,bradley beal,201210300CLE,19,56,1745,0.41,0.386,0.786,31.2,13.9,3.8,2.4,0.9,0.5,1.6,2012-2013,1,0,0,0,0,1,Low Success,0
1068,patrick beverley,201301150HOU,24,41,713,0.418,0.375,0.829,17.4,5.6,2.7,2.9,0.9,0.5,1.1,2012-2013,0,0,1,0,0,1,Low Success,0
1073,anthony davis,201210310NOH,19,64,1846,0.516,0.0,0.751,28.8,13.5,8.2,1.0,1.2,1.8,1.4,2012-2013,1,0,1,0,0,2,High Success,1
1075,andre drummond,201210310DET,19,60,1243,0.608,0.5,0.371,20.7,7.9,7.6,0.5,1.0,1.6,1.0,2012-2013,1,0,0,0,0,1,Low Success,0
1081,draymond green,201210310PHO,22,79,1061,0.327,0.209,0.818,13.4,2.9,3.3,0.7,0.5,0.3,0.6,2012-2013,1,0,1,0,0,2,High Success,1
1101,damian lillard,201210310POR,22,82,3167,0.429,0.368,0.844,38.6,19.0,3.1,6.5,0.9,0.2,3.0,2012-2013,1,1,0,0,0,2,High Success,1
1145,jimmy butler,201201010CHI,22,42,359,0.405,0.182,0.768,8.5,2.6,1.3,0.3,0.3,0.1,0.3,2011-2012,1,0,1,0,0,2,High Success,1
1167,kyrie irving,201112260CLE,19,51,1558,0.469,0.399,0.872,30.5,18.5,3.7,5.4,1.1,0.4,3.1,2011-2012,1,1,0,0,0,2,High Success,1
1178,kawhi leonard,201112260SAS,20,64,1534,0.493,0.376,0.773,24.0,7.9,5.1,1.1,1.3,0.4,0.7,2011-2012,1,0,1,0,1,3,High Success,1
1204,isaiah thomas,201112260SAC,22,65,1656,0.448,0.379,0.832,25.5,11.5,2.6,4.1,0.8,0.1,1.6,2011-2012,1,0,0,0,0,1,Low Success,0
1208,klay thompson,201112250GSW,21,66,1608,0.443,0.414,0.868,24.4,12.5,2.4,2.0,0.7,0.3,1.6,2011-2012,1,0,1,0,0,2,High Success,1
1215,kemba walker,201112260CHA,21,66,1792,0.366,0.305,0.789,27.2,12.1,3.5,4.4,0.9,0.3,1.8,2011-2012,1,0,0,0,0,1,Low Success,0
1227,eric bledsoe,201010270LAC,21,81,1841,0.424,0.276,0.744,22.7,6.7,2.8,3.6,1.1,0.3,2.4,2010-2011,0,0,1,0,0,1,Low Success,0
1230,avery bradley,201011220ATL,20,31,162,0.343,0.0,0.5,5.2,1.7,0.5,0.4,0.3,0.0,0.5,2010-2011,0,0,1,0,0,1,Low Success,0
1234,demarcus cousins,201010270MIN,20,81,2309,0.43,0.167,0.687,28.5,14.1,8.6,2.5,1.0,0.8,3.3,2010-2011,1,0,0,0,0,1,Low Success,0
1241,patrick ewing,201103300NOH,26,7,19,0.0,0.0,0.75,2.7,0.4,0.3,0.3,0.0,0.1,0.1,2010-2011,1,1,1,0,0,3,High Success,1
